timestamp,count
2013-12-02,140198
2013-12-09,280197
2013-12-16,290139
2013-12-23,278712
2013-12-30,250729
2014-01-06,245672
2014-01-13,255278
2014-01-20,258951
2014-01-27,284474
2014-02-03,274941
2014-02-10,270031
2014-02-17,251835
2014-02-24,263812
2014-03-03,312059
2014-03-10,288516
2014-03-17,260758
2014-03-24,273721
2014-03-31,258498
2014-04-07,259440
2014-04-14,268241
2014-04-21,267264
2014-04-28,261431
2014-05-05,267336
2014-05-12,263413
2014-05-19,249628
2014-05-26,303615
2014-06-02,262548
2014-06-09,261752
2014-06-16,266162
2014-06-23,261207
2014-06-30,265087
2014-07-07,290234
2014-07-14,304757
2014-07-21,388678
2014-07-28,354001
2014-08-04,342514
2014-08-11,346014
2014-08-18,415992
2014-08-25,457304
2014-09-01,378621
2014-09-08,383970
2014-09-15,365083
2014-09-22,399560
2014-09-29,329075
2014-10-06,314385
2014-10-13,333224
2014-10-20,320957
2014-10-27,320281
2014-11-03,312458
2014-11-10,328865
2014-11-17,300596
2014-11-24,348329
2014-12-01,375483
2014-12-08,431832
2014-12-15,208827
2014-12-22,109010
2014-12-29,84234
2015-01-05,86867
2015-01-12,190627
2015-01-19,192690
2015-01-26,190441
2015-02-02,195532
2015-02-09,210689
2015-02-16,226541
2015-02-23,226827
2015-03-02,238568
2015-03-09,237819
2015-03-16,272316
2015-03-23,295295
2015-03-30,288630
2015-04-06,284324
2015-04-13,292429
2015-04-20,280507
2015-04-27,310246
2015-05-04,356767
2015-05-11,337134
2015-05-18,299079
2015-05-25,305980
2015-06-01,298179
2015-06-08,303322
2015-06-15,285822
2015-06-22,326946
2015-06-29,381338
2015-07-06,356228
2015-07-13,367616
2015-07-20,349999
2015-07-27,367870
2015-08-03,363398
2015-08-10,410544
2015-08-17,392152
2015-08-24,459413
2015-08-31,487688
2015-09-07,448558
2015-09-14,476315
2015-09-21,503802
2015-09-28,444539
2015-10-05,452919
2015-10-12,429782
2015-10-19,473544
2015-10-26,448723
2015-11-02,437956
2015-11-09,422941
2015-11-16,612333
2015-11-23,596457
2015-11-30,596913
2015-12-07,651685
2015-12-14,617489
2015-12-21,589462
2015-12-28,509144
2016-01-04,561955
2016-01-11,651030
2016-01-18,681128
2016-01-25,644471
2016-02-01,739385
2016-02-08,707479
2016-02-15,761686
2016-02-22,737640
2016-02-29,778623
2016-03-07,820602
2016-03-14,840431
2016-03-21,856496
2016-03-28,878693
2016-04-04,772204
2016-04-11,735773
2016-04-18,690942
2016-04-25,689069
2016-05-02,707471
2016-05-09,775604
2016-05-16,666956
2016-05-23,690593
2016-05-30,696293
2016-06-06,740705
2016-06-13,832160
2016-06-20,800939
2016-06-27,1012488
2016-07-04,791393
2016-07-11,887344
2016-07-18,1018699
2016-07-25,1093535
2016-08-01,1011304
2016-08-08,851996
2016-08-15,822811
2016-08-22,776827
2016-08-29,812274
2016-09-05,746279
2016-09-12,820458
2016-09-19,927174
2016-09-26,980745
2016-10-03,865378
2016-10-10,1001728
2016-10-17,1011771
2016-10-24,1028935
2016-10-31,1016020
2016-11-07,1341497
2016-11-14,1768574
2016-11-21,1090574
2016-11-28,1017715
2016-12-05,1024610
2016-12-12,958448
2016-12-19,987576
2016-12-26,882776
2017-01-02,878871
2017-01-09,979692
2017-01-16,1053769
2017-01-23,1268204
2017-01-30,1433418
2017-02-06,1291424
2017-02-13,1078335
2017-02-20,1070895
2017-02-27,985983
2017-03-06,983105
2017-03-13,956391
2017-03-20,1043673
2017-03-27,1023653
2017-04-03,819973
2017-04-10,1120354
2017-04-17,1084851
2017-04-24,1053355
2017-05-01,1033651
2017-05-08,1022103
2017-05-15,952741
2017-05-22,986669
2017-05-29,985893
2017-06-05,1016615
2017-06-12,976879
2017-06-19,953524
2017-06-26,854666
2017-07-03,835027
2017-07-10,880788
2017-07-17,842882
2017-07-24,806597
2017-07-31,881451
2017-08-07,820160
2017-08-14,976102
2017-08-21,1040140
2017-08-28,874006
2017-09-04,872698
2017-09-11,914115
2017-09-18,846149
2017-09-25,867847
2017-10-02,881425
2017-10-09,909435
2017-10-16,861923
2017-10-23,852017
2017-10-30,868645
2017-11-06,1031511
2017-11-13,998872
2017-11-20,945380
2017-11-27,889766
2017-12-04,885908
2017-12-11,869702
2017-12-18,847130
2017-12-25,739565
2018-01-01,734819
2018-01-08,805331
